6211AL,"POLYGON((176459.629 318509.8322, 176551.9067 318495.4363, 176588.2565 318425.7669, 176594.365 318371.623, 176581.548 318370.836, 176569.9042 318421.147, 176535.3258 318395.0404, 176508.7642 318399.1354, 176480.93285 318428.7644, 176449.109 318409.2089, 176384.3504 318416.8055, 176376.543 318437.2908, 176352.65331 318444.48445, 176373.2805 318493.8803, 176459.629 318509.8322))"
6211AM,"POLYGON((176487.5903 318227.4757, 176438.692275 318223.1174, 176451.4883 318240.2111, 176441.337425 318262.467375, 176470.472 318260.4726, 176487.5903 318227.4757))"
6211AP,"POLYGON((176482.8885 318195.1185, 176487.8993 318148.0556, 176464.4947 318155.3597, 176476.0198 318181.9702, 176443.4202 318182.54705, 176430.0173 318140.9179, 176425.4469 318201.584, 176482.8885 318195.1185))"
6211AR,"POLYGON((176508.7642 318399.1354, 176493.82778 318371.14212, 176470.5185 318371.2929, 176475.8516 318406.5984, 176464.6164 318411.6916, 176480.93285 318428.7644, 176508.7642 318399.1354))"
6211AS,"MULTIPOLYGON(((176359.4828 318409.7516, 176325.548 318405.675, 176326.9797 318501.3668, 176358.6751 318473.5935, 176359.4828 318409.7516)), ((176330.64385 318641.00955, 176386.722775 318574.96875, 176327.38 318575.275, 176330.64385 318641.00955)), ((176330.64385 318641.00955, 176323.4329 318714.2871, 176345.2923 318716.2461, 176382.2309 318666.9239, 176330.64385 318641.00955)))"
6211AT,"MULTIPOLYGON(((176343.3839 318286.428, 176324.9329 318280.0981, 176324.6191 318299.9092, 176347.89705 318301.8839, 176343.3839 318286.428)), ((176334.0603 318319.8005, 176325.548 318405.675, 176352.8024 318402.5315, 176361.6331 318358.9294, 176350.6219 318322.1749, 176334.0603 318319.8005)))"
6211AV,"POLYGON((176342.7754 318278.7843, 176361.0465 318258.1802, 176348.8265 318228.6583, 176355.7311 318183.9382, 176327.8481 318178.7175, 176315.2357 318251.4484, 176324.9329 318280.0981, 176342.7754 318278.7843))"
6211AW,"POLYGON((176381.6176 318159.3026, 176389.842 318092.4669, 176331.4388 318072.5382, 176327.8481 318178.7175, 176355.7311 318183.9382, 176381.6176 318159.3026))"
6211AX,"MULTIPOLYGON(((176319.1256 318181.9939, 176286.0312 318184.4127, 176281.5424 318215.3202, 176309.3824 318247.8212, 176287.7537 318276.0022, 176304.846271 318311.908014, 176324.543 318314.246, 176319.1256 318181.9939)), ((176310.8611 318436.8454, 176303.2795 318322.172, 176226.3266 318399.0408, 176236.0235 318411.1378, 176274.9039 318404.8698, 176310.8611 318436.8454)))"
6211AZ,"POLYGON((176319.1256 318181.9939, 176321.933 318082.2961, 176293.7676 318104.4986, 176291.8124 318117.8629, 176313.5864 318123.7497, 176295.692667 318121.865033, 176282.7824 318140.9351, 176286.0312 318184.4127, 176319.1256 318181.9939))"
6211BA,"MULTIPOLYGON(((176554.2458 318328.9232, 176513.3109 318332.8929, 176475.5443 318370.235, 176581.835 318365.086, 176580.9401 318345.7889, 176554.2458 318328.9232)), ((176418.3111 318351.3266, 176386.549 318355.996, 176393.0507 318385.6219, 176431.9226 318378.1507, 176418.3111 318351.3266)))"
6211BB,"POLYGON((176358.8112 318401.83855, 176393.0507 318385.6219, 176386.549 318355.996, 176361.6331 318358.9294, 176348.7176 318383.8596, 176358.8112 318401.83855))"
6211BC,"MULTIPOLYGON(((176577.49165 318413.95705, 176581.835 318365.086, 176493.82778 318371.14212, 176508.7642 318399.1354, 176540.2286 318395.22125, 176563.994575 318421.963, 176577.49165 318413.95705)), ((176475.0818 318409.942625, 176468.9601 318374.232, 176358.8112 318401.83855, 176384.3504 318416.8055, 176449.109 318409.2089, 176475.5731 318422.4149, 176464.6164 318411.6916, 176475.0818 318409.942625)))"
